,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,SaleType,SaleCondition,SalePrice
10,11,20,1,70.0,11200,0.75,0.875,1,0.75,1,0.8333333333333334,10,1,1,1,2,0.45,0.45,1965,1965,2,1,4,4,2,0.0,0.5,0.5,2,0.5,0.5,0.9,0.5,906.0,0.21428571428571427,134.0,1040.0,1,0.9,1,1,1040,0,1040,1.0,1,0,3,1,0.5,5,Typ,0,0,2,1965.0,0.375,1.0,384.0,0.1,0.5,0.8333333333333334,0,0,0,0,1,1,129500.0
11,12,60,1,85.0,11924,0.75,0.625,1,0.75,1,0.8333333333333334,11,1,1,1,1,0.85,0.45,2005,2006,2,1,6,3,3,286.0,0.9,0.5,1,0.9,0.5,0.9,0.9285714285714286,998.0,0.21428571428571427,177.0,1175.0,1,0.9,1,1,1182,1142,2324,1.0,3,0,4,1,0.9,11,Typ,2,0.7,3,2005.0,0.875,3.0,736.0,0.1,0.5,0.8333333333333334,147,21,0,0,2,3,345000.0
12,13,20,1,,12968,0.75,0.375,1,0.75,1,0.8333333333333334,10,1,1,1,2,0.45,0.55,1962,1962,2,1,4,5,2,0.0,0.5,0.5,2,0.5,0.5,0.9,0.7857142857142857,737.0,0.21428571428571427,175.0,912.0,1,0.5,1,1,912,0,912,1.0,1,0,2,1,0.5,4,Typ,0,0,2,1962.0,0.375,1.0,352.0,0.1,0.5,0.8333333333333334,140,0,0,176,1,1,144000.0
13,14,20,1,91.0,10652,0.75,0.625,1,0.75,1,0.8333333333333334,1,1,1,1,2,0.65,0.45,2006,2007,1,1,1,1,3,306.0,0.7,0.5,1,0.7,0.5,0.3,0.6428571428571429,0.0,0.21428571428571427,1494.0,1494.0,1,0.9,1,1,1494,0,1494,0.0,2,0,3,1,0.7,7,Typ,1,0.7,1,2006.0,0.625,3.0,840.0,0.1,0.5,0.8333333333333334,160,33,0,0,2,3,279500.0
14,15,20,1,,10920,0.75,0.625,1,0.75,3,0.8333333333333334,12,1,1,1,2,0.55,0.45,1960,1960,2,1,2,2,1,212.0,0.5,0.5,2,0.5,0.5,0.9,0.35714285714285715,733.0,0.21428571428571427,520.0,1253.0,1,0.5,1,1,1253,0,1253,1.0,1,1,2,1,0.5,5,Typ,1,0.3,1,1960.0,0.625,1.0,352.0,0.1,0.5,0.8333333333333334,0,213,176,0,1,1,157000.0
15,16,45,2,51.0,6120,0.75,0.875,1,0.75,3,0.8333333333333334,9,1,1,1,4,0.65,0.75,1929,2001,1,1,3,6,2,0.0,0.5,0.5,3,0.5,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,832.0,832.0,1,0.9,1,3,854,0,854,0.0,1,0,2,1,0.5,5,Typ,0,0,2,1991.0,0.375,2.0,576.0,0.1,0.5,0.8333333333333334,48,112,0,0,1,1,132000.0
16,17,20,1,,11241,0.75,0.625,1,0.75,4,0.8333333333333334,12,1,1,1,2,0.55,0.65,1970,1970,1,1,3,6,1,180.0,0.5,0.5,2,0.5,0.5,0.9,0.7857142857142857,578.0,0.21428571428571427,426.0,1004.0,1,0.9,1,1,1004,0,1004,1.0,1,0,2,1,0.5,5,Typ,1,0.5,1,1970.0,0.875,2.0,480.0,0.1,0.5,0.8333333333333334,0,0,0,0,1,1,149000.0
17,18,90,1,72.0,10791,0.75,0.875,1,0.75,1,0.8333333333333334,10,1,1,3,2,0.35,0.45,1967,1967,1,1,2,2,2,0.0,0.5,0.5,5,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,1,0.5,1,1,1296,0,1296,0.0,2,0,2,2,0.5,6,Typ,0,0,4,1967.0,0.375,2.0,516.0,0.1,0.5,0.8333333333333334,0,0,0,0,1,1,90000.0
18,19,20,1,66.0,13695,0.75,0.875,1,0.75,1,0.8333333333333334,13,5,1,1,2,0.45,0.45,2004,2004,1,1,1,1,2,0.0,0.5,0.5,1,0.5,0.5,0.9,0.9285714285714286,646.0,0.21428571428571427,468.0,1114.0,1,0.9,1,1,1114,0,1114,1.0,1,1,3,1,0.7,6,Typ,0,0,2,2004.0,0.375,2.0,576.0,0.1,0.5,0.8333333333333334,0,102,0,0,1,1,159000.0
19,20,20,1,70.0,7560,0.75,0.875,1,0.75,1,0.8333333333333334,12,1,1,1,2,0.45,0.55,1958,1965,2,1,5,5,2,0.0,0.5,0.5,2,0.5,0.5,0.9,0.21428571428571427,504.0,0.21428571428571427,525.0,1029.0,1,0.5,1,1,1339,0,1339,0.0,1,0,3,1,0.5,6,Min1,0,0,1,1958.0,0.375,1.0,294.0,0.1,0.5,0.8333333333333334,0,0,0,0,3,2,139000.0
20,21,60,1,101.0,14215,0.75,0.625,1,0.75,3,0.8333333333333334,11,1,1,1,1,0.75,0.45,2005,2006,1,1,1,1,1,380.0,0.7,0.5,1,0.9,0.5,0.3,0.6428571428571429,0.0,0.21428571428571427,1158.0,1158.0,1,0.9,1,1,1158,1218,2376,0.0,3,1,4,1,0.7,9,Typ,1,0.7,3,2005.0,0.625,3.0,853.0,0.1,0.5,0.8333333333333334,240,154,0,0,2,3,325300.0
21,22,45,2,57.0,7449,0.75,0.875,2,0.75,1,0.8333333333333334,14,1,1,1,4,0.65,0.65,1930,1950,1,1,3,6,2,0.0,0.5,0.5,1,0.5,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,637.0,637.0,1,0.9,1,2,1108,0,1108,0.0,1,0,3,1,0.7,6,Typ,1,0.7,1,1930.0,0.375,1.0,280.0,0.1,0.5,0.16666666666666666,0,0,205,0,1,1,139400.0
22,23,20,1,75.0,9742,0.75,0.875,1,0.75,1,0.8333333333333334,1,1,1,1,2,0.75,0.45,2002,2002,2,1,1,1,1,281.0,0.7,0.5,1,0.7,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,1777.0,1777.0,1,0.9,1,1,1795,0,1795,0.0,2,0,3,1,0.7,7,Typ,1,0.7,1,2002.0,0.625,2.0,534.0,0.1,0.5,0.8333333333333334,171,159,0,0,1,1,230000.0
23,24,120,2,44.0,4224,0.75,0.875,1,0.75,1,0.8333333333333334,15,1,1,4,2,0.45,0.65,1976,1976,1,1,7,7,2,0.0,0.5,0.5,1,0.7,0.5,0.9,0.9285714285714286,840.0,0.21428571428571427,200.0,1040.0,1,0.5,1,1,1060,0,1060,1.0,1,0,3,1,0.5,6,Typ,1,0.5,1,1976.0,0.375,2.0,572.0,0.1,0.5,0.8333333333333334,100,110,0,0,1,1,129900.0
24,25,20,1,,8246,0.75,0.625,1,0.75,1,0.8333333333333334,10,1,1,1,2,0.45,0.75,1968,2001,1,1,8,5,2,0.0,0.5,0.7,2,0.5,0.5,0.5,0.5,188.0,0.7857142857142857,204.0,1060.0,1,0.9,1,1,1060,0,1060,1.0,1,0,3,1,0.7,6,Typ,1,0.5,1,1968.0,0.375,1.0,270.0,0.1,0.5,0.8333333333333334,406,90,0,0,1,1,154000.0
25,26,20,1,110.0,14230,0.75,0.875,1,0.75,3,0.8333333333333334,11,1,1,1,2,0.75,0.45,2007,2007,1,1,1,1,3,640.0,0.7,0.5,1,0.7,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,1566.0,1566.0,1,0.9,1,1,1600,0,1600,0.0,2,0,3,1,0.7,7,Typ,1,0.7,1,2007.0,0.625,3.0,890.0,0.1,0.5,0.8333333333333334,0,56,0,0,1,1,256300.0
26,27,20,1,60.0,7200,0.75,0.875,1,0.75,3,0.8333333333333334,12,1,1,1,2,0.45,0.65,1951,2000,1,1,3,6,2,0.0,0.5,0.5,2,0.5,0.5,0.5,0.35714285714285715,234.0,0.5,180.0,900.0,1,0.5,1,1,900,0,900,0.0,1,0,3,1,0.7,5,Typ,0,0,2,2005.0,0.375,2.0,576.0,0.1,0.5,0.8333333333333334,222,32,0,0,1,1,134800.0
27,28,20,1,98.0,11478,0.75,0.875,1,0.75,1,0.8333333333333334,11,1,1,1,2,0.75,0.45,2007,2008,1,1,1,1,3,200.0,0.7,0.5,1,0.9,0.5,0.9,0.9285714285714286,1218.0,0.21428571428571427,486.0,1704.0,1,0.9,1,1,1704,0,1704,1.0,2,0,3,1,0.7,7,Typ,1,0.7,1,2008.0,0.625,3.0,772.0,0.1,0.5,0.8333333333333334,0,50,0,0,1,1,306000.0
28,29,20,1,47.0,16321,0.75,0.625,1,0.75,4,0.8333333333333334,12,1,1,1,2,0.45,0.55,1957,1997,1,1,2,2,2,0.0,0.5,0.5,2,0.5,0.5,0.7,0.35714285714285715,1277.0,0.21428571428571427,207.0,1484.0,1,0.5,1,1,1600,0,1600,1.0,1,0,2,1,0.5,6,Typ,2,0.7,1,1957.0,0.625,1.0,319.0,0.1,0.5,0.8333333333333334,288,258,0,0,1,1,207500.0
29,30,30,2,60.0,6324,0.75,0.625,1,0.75,1,0.8333333333333334,9,2,3,1,2,0.35,0.55,1927,1950,1,1,2,2,2,0.0,0.5,0.5,3,0.5,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,520.0,520.0,1,0.3,2,1,520,0,520,0.0,1,0,1,1,0.3,4,Typ,0,0,2,1920.0,0.375,1.0,240.0,0.3,0.5,0.8333333333333334,49,0,87,0,1,1,68500.0
30,31,70,3,50.0,8500,0.75,0.875,1,0.75,1,0.8333333333333334,14,2,1,1,1,0.35,0.35,1920,1950,3,1,5,8,2,0.0,0.5,0.3,3,0.5,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,649.0,649.0,1,0.5,2,1,649,668,1317,0.0,1,0,3,1,0.5,6,Typ,0,0,2,1920.0,0.375,1.0,250.0,0.1,0.3,0.16666666666666666,0,54,172,0,1,1,40000.0
31,32,20,1,,8544,0.75,0.625,1,0.75,4,0.8333333333333334,10,1,1,1,2,0.45,0.55,1966,2006,1,1,4,4,2,0.0,0.5,0.5,2,0.5,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,1228.0,1228.0,1,0.7,1,1,1228,0,1228,0.0,1,1,3,1,0.7,6,Typ,0,0,1,1966.0,0.375,1.0,271.0,0.1,0.5,0.8333333333333334,0,65,0,0,1,1,149350.0
32,33,20,1,85.0,11049,0.75,0.875,1,0.75,3,0.8333333333333334,1,1,1,1,2,0.75,0.45,2007,2007,1,1,1,1,2,0.0,0.7,0.5,1,0.9,0.5,0.3,0.6428571428571429,0.0,0.21428571428571427,1234.0,1234.0,1,0.9,1,1,1234,0,1234,0.0,2,0,3,1,0.7,7,Typ,0,0,1,2007.0,0.625,2.0,484.0,0.1,0.5,0.8333333333333334,0,30,0,0,1,1,179900.0
33,34,20,1,70.0,10552,0.75,0.625,1,0.75,1,0.8333333333333334,12,1,1,1,2,0.45,0.45,1959,1959,2,1,5,8,2,0.0,0.5,0.5,2,0.5,0.5,0.9,0.5,1018.0,0.21428571428571427,380.0,1398.0,1,0.7,1,1,1700,0,1700,0.0,1,1,4,1,0.7,6,Typ,1,0.7,1,1959.0,0.625,2.0,447.0,0.1,0.5,0.8333333333333334,0,38,0,0,1,1,165500.0
34,35,120,1,60.0,7313,0.75,0.875,1,0.75,1,0.8333333333333334,11,1,1,4,2,0.85,0.45,2005,2005,2,1,2,2,1,246.0,0.9,0.5,1,0.9,0.5,0.9,0.9285714285714286,1153.0,0.21428571428571427,408.0,1561.0,1,0.9,1,1,1561,0,1561,1.0,2,0,2,1,0.9,6,Typ,1,0.7,1,2005.0,0.875,2.0,556.0,0.1,0.5,0.8333333333333334,203,47,0,0,1,1,277500.0
35,36,60,1,108.0,13418,0.75,0.875,1,0.75,1,0.8333333333333334,11,1,1,1,1,0.75,0.45,2004,2005,1,1,1,1,3,132.0,0.7,0.5,1,0.9,0.5,0.3,0.6428571428571429,0.0,0.21428571428571427,1117.0,1117.0,1,0.9,1,1,1132,1320,2452,0.0,3,1,4,1,0.7,9,Typ,1,0.7,3,2004.0,0.875,3.0,691.0,0.1,0.5,0.8333333333333334,113,32,0,0,1,1,309000.0
36,37,20,1,112.0,10859,0.75,0.875,1,0.75,3,0.8333333333333334,1,1,1,1,2,0.45,0.45,1994,1995,1,1,1,1,2,0.0,0.5,0.5,1,0.7,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,1097.0,1097.0,1,0.9,1,1,1097,0,1097,0.0,1,1,3,1,0.5,6,Typ,0,0,1,1995.0,0.375,2.0,672.0,0.1,0.5,0.8333333333333334,392,64,0,0,1,1,145000.0
37,38,20,1,74.0,8532,0.75,0.875,1,0.75,1,0.8333333333333334,12,1,1,1,2,0.45,0.55,1954,1990,2,1,3,6,1,650.0,0.5,0.5,2,0.5,0.5,0.9,0.5,1213.0,0.21428571428571427,84.0,1297.0,1,0.7,1,1,1297,0,1297,0.0,1,0,3,1,0.5,5,Typ,1,0.5,1,1954.0,0.875,2.0,498.0,0.1,0.5,0.8333333333333334,0,0,0,0,1,1,153000.0
38,39,20,1,68.0,7922,0.75,0.875,1,0.75,1,0.8333333333333334,12,1,1,1,2,0.45,0.65,1953,2007,1,1,1,1,2,0.0,0.5,0.7,2,0.5,0.5,0.9,0.9285714285714286,731.0,0.21428571428571427,326.0,1057.0,1,0.5,1,1,1057,0,1057,1.0,1,0,3,1,0.7,5,Typ,0,0,2,1953.0,0.375,1.0,246.0,0.1,0.5,0.8333333333333334,0,52,0,0,1,2,109000.0
39,40,90,1,65.0,6040,0.75,0.875,1,0.75,1,0.8333333333333334,16,1,1,3,2,0.35,0.45,1955,1955,1,1,9,5,2,0.0,0.5,0.5,1,0.5,0.5,0.5,0.5,0.0,0.5,0.0,0.0,1,0.5,2,4,1152,0,1152,0.0,2,0,2,2,0.3,6,Typ,0,0,0,,0.5,0.0,0.0,0,0.5,0.16666666666666666,0,0,0,0,1,4,82000.0
40,41,20,1,84.0,8658,0.75,0.875,1,0.75,1,0.8333333333333334,12,1,1,1,2,0.55,0.45,1965,1965,1,1,3,6,1,101.0,0.5,0.5,2,0.5,0.5,0.9,0.5,643.0,0.21428571428571427,445.0,1088.0,1,0.9,1,1,1324,0,1324,0.0,2,0,3,1,0.5,6,Typ,1,0.5,1,1965.0,0.625,2.0,440.0,0.1,0.5,0.8333333333333334,0,138,0,0,1,2,160000.0
41,42,20,1,115.0,16905,0.75,0.875,1,0.75,1,0.8333333333333334,17,1,1,1,2,0.45,0.55,1959,1959,1,1,1,1,2,0.0,0.5,0.7,2,0.5,0.5,0.7,0.35714285714285715,967.0,0.21428571428571427,383.0,1350.0,1,0.7,1,1,1328,0,1328,0.0,1,1,2,1,0.5,5,Typ,2,0.7,1,1959.0,0.625,1.0,308.0,0.1,0.5,0.5,0,104,0,0,1,1,170000.0
42,43,85,1,,9180,0.75,0.625,1,0.75,4,0.8333333333333334,13,1,1,1,5,0.45,0.65,1983,1983,1,1,4,4,2,0.0,0.5,0.5,2,0.7,0.5,0.3,0.7857142857142857,747.0,0.35714285714285715,0.0,840.0,1,0.7,1,1,884,0,884,1.0,1,0,2,1,0.7,5,Typ,0,0,1,1983.0,0.625,2.0,504.0,0.1,0.7,0.8333333333333334,240,0,0,0,1,1,144000.0
43,44,20,1,,9200,0.75,0.625,1,0.75,4,0.8333333333333334,1,1,1,1,2,0.45,0.55,1975,1980,2,1,1,1,2,0.0,0.5,0.5,2,0.7,0.5,0.3,0.21428571428571427,280.0,0.6428571428571429,167.0,938.0,1,0.5,1,1,938,0,938,1.0,1,0,3,1,0.5,5,Typ,0,0,2,1977.0,0.375,1.0,308.0,0.1,0.5,0.8333333333333334,145,0,0,0,1,1,130250.0
44,45,20,1,70.0,7945,0.75,0.875,1,0.75,1,0.8333333333333334,12,1,1,1,2,0.45,0.55,1959,1959,1,1,5,6,2,0.0,0.5,0.5,2,0.5,0.5,0.9,0.7857142857142857,179.0,0.6428571428571429,465.0,1150.0,1,0.9,1,3,1150,0,1150,1.0,1,0,3,1,0.5,6,Typ,0,0,1,1959.0,0.625,1.0,300.0,0.1,0.5,0.8333333333333334,0,0,0,0,1,1,141000.0
45,46,120,1,61.0,7658,0.75,0.875,1,0.75,1,0.8333333333333334,11,1,1,4,2,0.85,0.45,2005,2005,2,1,2,2,1,412.0,0.9,0.5,1,0.9,0.5,0.9,0.9285714285714286,456.0,0.21428571428571427,1296.0,1752.0,1,0.9,1,1,1752,0,1752,1.0,2,0,2,1,0.9,6,Typ,1,0.7,1,2005.0,0.625,2.0,576.0,0.1,0.5,0.8333333333333334,196,82,0,0,1,1,319900.0
46,47,50,1,48.0,12822,0.75,0.625,1,0.75,4,0.8333333333333334,5,1,1,1,3,0.65,0.45,2003,2003,1,1,1,1,2,0.0,0.7,0.5,1,0.9,0.5,0.9,0.9285714285714286,1351.0,0.21428571428571427,83.0,1434.0,1,0.9,1,1,1518,631,2149,1.0,1,1,1,1,0.7,6,Typ,1,0.9,1,2003.0,0.625,2.0,670.0,0.1,0.5,0.8333333333333334,168,43,0,198,1,2,239686.0
47,48,20,4,84.0,11096,0.75,0.875,1,0.75,1,0.8333333333333334,6,1,1,1,2,0.75,0.45,2006,2006,1,1,1,1,2,0.0,0.7,0.5,1,0.7,0.5,0.3,0.9285714285714286,24.0,0.21428571428571427,1632.0,1656.0,1,0.9,1,1,1656,0,1656,0.0,2,0,3,1,0.7,7,Typ,0,0,1,2006.0,0.625,3.0,826.0,0.1,0.5,0.8333333333333334,0,146,0,0,1,1,249700.0
48,49,190,2,33.0,4456,0.75,0.875,1,0.75,1,0.8333333333333334,8,1,1,2,1,0.35,0.45,1920,2008,1,1,2,2,2,0.0,0.5,0.5,3,0.5,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,736.0,736.0,1,0.7,1,1,736,716,1452,0.0,2,0,2,3,0.5,8,Typ,0,0,0,,0.5,0.0,0.0,0,0.5,0.16666666666666666,0,0,102,0,2,3,113000.0
49,50,20,1,66.0,7742,0.75,0.875,1,0.75,1,0.8333333333333334,10,1,1,1,2,0.45,0.65,1966,1966,1,1,4,4,2,0.0,0.5,0.5,2,0.5,0.5,0.9,0.35714285714285715,763.0,0.21428571428571427,192.0,955.0,1,0.9,1,1,955,0,955,1.0,1,0,3,1,0.5,6,Typ,0,0,1,1966.0,0.375,1.0,386.0,0.1,0.5,0.8333333333333334,0,0,0,0,1,1,127000.0
50,51,60,1,,13869,0.75,0.375,1,0.75,3,0.8333333333333334,18,1,1,1,1,0.55,0.55,1997,1997,1,1,1,1,2,0.0,0.5,0.5,1,0.7,0.5,0.3,0.9285714285714286,182.0,0.21428571428571427,612.0,794.0,1,0.7,1,1,794,676,1470,0.0,2,0,3,1,0.5,6,Typ,0,0,1,1997.0,0.875,2.0,388.0,0.1,0.5,0.8333333333333334,0,75,0,0,1,1,177000.0
51,52,50,2,52.0,6240,0.75,0.875,1,0.75,1,0.8333333333333334,9,1,1,1,3,0.55,0.55,1934,1950,1,1,3,6,2,0.0,0.5,0.5,1,0.5,0.5,0.9,0.6428571428571429,0.0,0.21428571428571427,816.0,816.0,1,0.5,1,1,816,0,1176,0.0,1,0,3,1,0.5,6,Typ,1,0.7,2,1985.0,0.375,2.0,528.0,0.1,0.5,0.8333333333333334,112,0,0,0,1,1,114500.0
52,53,90,2,110.0,8472,0.25,0.375,2,0.75,3,0.5,14,6,1,3,2,0.45,0.45,1963,1963,1,1,3,6,2,0.0,0.3,0.5,2,0.7,0.5,0.7,0.21428571428571427,104.0,0.9285714285714286,0.0,816.0,1,0.5,2,1,816,0,816,1.0,1,0,2,1,0.5,5,Typ,0,0,4,1963.0,0.375,2.0,516.0,0.1,0.5,0.8333333333333334,106,0,0,0,1,1,110000.0
53,54,20,1,68.0,50271,0.75,0.625,3,0.75,1,0.8333333333333334,2,1,1,1,2,0.85,0.45,1981,1987,1,2,6,3,2,0.0,0.7,0.5,2,0.9,0.5,0.7,0.9285714285714286,1810.0,0.21428571428571427,32.0,1842.0,1,0.7,1,1,1842,0,1842,2.0,0,1,0,1,0.7,5,Typ,1,0.7,1,1981.0,0.875,3.0,894.0,0.1,0.5,0.8333333333333334,857,72,0,0,1,1,385000.0
54,55,80,1,60.0,7134,0.75,0.875,2,0.75,1,0.5,12,1,1,1,6,0.45,0.45,1955,1955,1,1,2,2,2,0.0,0.5,0.5,2,0.5,0.5,0.9,0.7857142857142857,384.0,0.21428571428571427,0.0,384.0,1,0.5,1,1,1360,0,1360,0.0,1,0,3,1,0.5,6,Min1,1,0.5,2,1962.0,0.375,2.0,572.0,0.1,0.5,0.8333333333333334,0,50,0,0,1,1,130000.0
55,56,20,1,100.0,10175,0.75,0.625,1,0.75,1,0.8333333333333334,12,1,1,1,2,0.55,0.45,1964,1964,1,1,4,5,1,272.0,0.5,0.5,2,0.5,0.5,0.9,0.35714285714285715,490.0,0.21428571428571427,935.0,1425.0,1,0.7,1,1,1425,0,1425,0.0,2,0,3,1,0.5,7,Typ,1,0.7,1,1964.0,0.625,2.0,576.0,0.1,0.5,0.8333333333333334,0,0,0,0,1,1,180500.0
56,57,160,4,24.0,2645,0.75,0.875,1,0.75,1,0.8333333333333334,6,1,1,5,1,0.75,0.45,1999,2000,1,1,2,2,1,456.0,0.7,0.5,1,0.7,0.5,0.9,0.9285714285714286,649.0,0.21428571428571427,321.0,970.0,1,0.9,1,1,983,756,1739,1.0,2,1,3,1,0.7,7,Typ,0,0,1,1999.0,0.875,2.0,480.0,0.1,0.5,0.8333333333333334,115,0,0,0,1,2,172500.0
