Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,SaleType,SaleCondition,SalePrice
11,20,1,70.0,0.13083382733456522,0.75,0.875,1,0.75,1,0.8333333333333334,10,1,1,1,2,0.45,0.45,-0.20840138431968297,-0.9219946756585354,2,1,4,4,2,-0.5669188163210045,0.5,0.5,2,0.5,0.5,0.9,0.5,1.0200216292205169,0.21428571428571427,-0.9704022620129165,-0.025882420410928527,1,0.9,1,1,-0.3047738621176366,-0.7848905642207468,-0.9105007364537654,1.0871478175873686,-1.0271868296772464,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.5,-0.9249036477698097,1,-0.9241528710642197,0.0,2,0.21044854985565745,0.375,-1.005012157822057,-0.4115911127972821,0.0,0.5,0.8333333333333334,-0.7406335114617164,-0.7027223652857307,-0.35953914829025974,0,1,1,12.95
12,60,1,85.0,0.22263049707235974,0.75,0.625,1,0.75,1,0.8333333333333334,11,1,1,1,1,0.85,0.45,1.1121036155807955,1.040258819409093,2,1,6,3,3,1.0321456421789685,0.9,0.5,1,0.9,0.5,0.9,0.9285714285714286,1.2219504824464136,0.21428571428571427,-0.8725840381468825,0.28015640694324223,1,0.9,1,1,0.05713674984204953,1.8789678978873567,1.6267927093086803,1.0871478175873686,2.5896507527448076,-0.7561914703898819,1.385418079037127,-0.20766289448672728,0.9,2.898264274590457,1,2.17120252840389,0.7,3,0.2993994432069457,0.875,1.618986490373457,1.2215491190057306,0.0,0.5,0.8333333333333334,0.4211776208947018,-0.39195881853251674,-0.35953914829025974,0,2,3,34.5
13,20,1,0.0,0.355000280506417,0.75,0.375,1,0.75,1,0.8333333333333334,10,1,1,1,2,0.45,0.55,-0.3074392593122188,-1.065574199687874,2,1,4,5,2,-0.5669188163210045,0.5,0.5,2,0.5,0.5,0.9,0.7857142857142857,0.6490871053599019,0.21428571428571427,-0.8771337229778609,-0.3160525678282164,1,0.5,1,1,-0.6310031461376353,-0.7848905642207468,-1.163439646934757,1.0871478175873686,-1.0271868296772464,-0.7561914703898819,-1.0456221209685077,-0.20766289448672728,0.5,-1.5620983014965208,1,-0.9241528710642197,0.0,2,0.20377723285431085,0.375,-1.005012157822057,-0.560058406597556,0.0,0.5,0.8333333333333334,0.3658532812586819,-0.7027223652857307,-0.35953914829025974,176,1,1,14.4
14,20,1,91.0,0.06135237012971525,0.75,0.625,1,0.75,1,0.8333333333333334,1,1,1,1,2,0.65,0.45,1.1451162405783075,1.0881186607522058,1,1,1,1,3,1.143968331584561,0.7,0.5,1,0.7,0.5,0.3,0.6428571428571429,-0.9685385992866848,0.21428571428571427,2.1233834230523443,1.0033148212097642,1,0.9,1,1,0.8523206296407965,-0.7848905642207468,-0.013358038341498775,-0.8187888067594956,0.7812319615337806,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.7,0.34948565968361267,1,0.6235248286698352,0.7,1,0.3016232155407279,0.625,1.618986490373457,1.7040678238566207,0.0,0.5,0.8333333333333334,0.5239228230758817,-0.21437964895925157,-0.35953914829025974,0,2,3,27.95
15,20,1,0.0,0.09533235285033531,0.75,0.625,1,0.75,3,0.8333333333333334,12,1,1,1,2,0.55,0.45,-0.3734645093072428,-1.1612938823741,2,1,2,2,1,0.6184016913782762,0.5,0.5,2,0.5,0.5,0.9,0.35714285714285715,0.6403075900022542,0.21428571428571427,-0.09231308963409983,0.456978840525652,1,0.5,1,1,0.23809205582189258,-0.7848905642207468,-0.48959458073149054,1.0871478175873686,-1.0271868296772464,1.232387720662429,-1.0456221209685077,-0.20766289448672728,0.5,-0.9249036477698097,1,0.6235248286698352,0.3,1,0.19932968818674643,0.625,-1.005012157822057,-0.560058406597556,0.0,0.5,0.8333333333333334,-0.7406335114617164,2.4493078946397255,2.380005823815092,0,1,1,15.7
16,45,2,51.0,-0.5132643525936061,0.75,0.875,1,0.75,3,0.8333333333333334,9,1,1,1,4,0.65,0.75,-1.3968558842301135,0.8009596126935284,1,1,3,6,2,-0.5669188163210045,0.5,0.5,3,0.5,0.5,0.9,0.6428571428571429,-0.9685385992866848,0.21428571428571427,0.6174377439985188,-0.49740890996402126,1,0.9,1,3,-0.7788257904591973,-0.7848905642207468,-1.2780525907464562,-0.8187888067594956,-1.0271868296772464,-0.7561914703898819,-1.0456221209685077,-0.20766289448672728,0.5,-0.9249036477698097,1,-0.9241528710642197,0.0,2,0.2682666305339948,0.375,0.30698716627569994,0.47921265000436114,0.0,0.5,0.8333333333333334,-0.361266611100437,0.9546832173980772,-0.35953914829025974,0,1,1,13.2
17,20,1,0.0,0.1360322575268989,0.75,0.625,1,0.75,4,0.8333333333333334,12,1,1,1,2,0.55,0.65,-0.04333825933212316,-0.682695468942971,1,1,3,6,1,0.43948538832932815,0.5,0.5,2,0.5,0.5,0.9,0.7857142857142857,0.3001013698934063,0.21428571428571427,-0.3061482766900811,-0.10749277437204073,1,0.9,1,1,-0.3965258482482612,-0.7848905642207468,-0.9816398050265442,1.0871478175873686,-1.0271868296772464,-0.7561914703898819,-1.0456221209685077,-0.20766289448672728,0.5,-0.9249036477698097,1,0.6235248286698352,0.5,1,0.2215674115245685,0.875,0.30698716627569994,0.033810768603539515,0.0,0.5,0.8333333333333334,-0.7406335114617164,-0.7027223652857307,-0.35953914829025974,0,1,1,14.9
18,90,1,72.0,0.07897631639152938,0.75,0.875,1,0.75,1,0.8333333333333334,10,1,1,3,2,0.35,0.45,-0.14237613432465904,-0.8262749929723097,1,1,2,2,2,-0.5669188163210045,0.5,0.5,5,0.5,0.5,0.5,0.5,-0.9685385992866848,0.5,-1.2752311456884642,-2.3835148681763925,1,0.5,1,1,0.3476847059223609,-0.7848905642207468,-0.4046229154917825,-0.8187888067594956,0.7812319615337806,-0.7561914703898819,-1.0456221209685077,4.455167790180623,0.5,-0.2877089940430985,1,-0.9241528710642197,0.0,4,0.21489609452322186,0.375,0.30698716627569994,0.20083647412884764,0.0,0.5,0.8333333333333334,-0.7406335114617164,-0.7027223652857307,-0.35953914829025974,0,1,1,9.0
19,20,1,66.0,0.447177323185114,0.75,0.875,1,0.75,1,0.8333333333333334,13,5,1,1,2,0.45,0.45,1.0790909905832835,0.9445391367228672,1,1,1,1,2,-0.5669188163210045,0.5,0.5,1,0.5,0.5,0.9,0.9285714285714286,0.449353130973417,0.21428571428571427,-0.21060489523953627,0.141872196064691,1,0.9,1,1,-0.1161725572935748,-0.7848905642207468,-0.7642704288319422,1.0871478175873686,-1.0271868296772464,1.232387720662429,0.16989797903430978,-0.20766289448672728,0.7,-0.2877089940430985,1,-0.9241528710642197,0.0,2,0.2971756708731635,0.375,0.30698716627569994,0.47921265000436114,0.0,0.5,0.8333333333333334,-0.7406335114617164,0.8067005760870231,-0.35953914829025974,0,1,1,15.9
20,20,1,70.0,-0.33068534096042373,0.75,0.875,1,0.75,1,0.8333333333333334,12,1,1,1,2,0.45,0.55,-0.4394897593022667,-0.9219946756585354,2,1,5,5,2,-0.5669188163210045,0.5,0.5,2,0.5,0.5,0.9,0.21428571428571427,0.137680335776924,0.21428571428571427,-0.08093887755665401,-0.0508189174546017,1,0.5,1,1,0.45727735602282926,-0.7848905642207468,-0.31965125025207436,-0.8187888067594956,-1.0271868296772464,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.5,-0.2877089940430985,2,-0.9241528710642197,0.0,1,0.194882143519182,0.375,-1.005012157822057,-0.8291553766105524,0.0,0.5,0.8333333333333334,-0.7406335114617164,-0.7027223652857307,-0.35953914829025974,0,3,2,13.9
21,60,1,101.0,0.513108632941541,0.75,0.625,1,0.75,3,0.8333333333333334,11,1,1,1,1,0.75,0.45,1.1121036155807955,1.040258819409093,1,1,1,1,1,1.5577122823852534,0.7,0.5,1,0.9,0.5,0.3,0.6428571428571429,-0.9685385992866848,0.21428571428571427,1.3590363714479858,0.24161818423938372,1,0.9,1,1,-0.004031240911700236,2.0562474452780886,1.7295491416915831,-0.8187888067594956,2.5896507527448076,1.232387720662429,1.385418079037127,-0.20766289448672728,0.7,1.623874967137035,1,0.6235248286698352,0.7,3,0.2993994432069457,0.625,1.618986490373457,1.7643826619629819,0.0,0.5,0.8333333333333334,1.1562009903446806,1.5762103109045051,-0.35953914829025974,0,2,3,32.53
22,45,2,57.0,-0.34475913977381484,0.75,0.875,2,0.75,1,0.8333333333333334,14,1,1,1,4,0.65,0.65,-1.3638432592326015,-1.6398922958052287,1,1,3,6,2,-0.5669188163210045,0.5,0.5,1,0.5,0.5,0.9,0.6428571428571429,-0.9685385992866848,0.21428571428571427,0.17384347297813219,-0.9394649939200458,1,0.9,1,2,-0.13146455498201226,-0.7848905642207468,-0.7761269402607387,-0.8187888067594956,-1.0271868296772464,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.7,-0.2877089940430985,1,0.6235248286698352,0.7,1,0.13261651817328024,0.375,-1.005012157822057,-0.8941098176481722,0.0,0.5,0.16666666666666666,-0.7406335114617164,-0.7027223652857307,2.831408120355178,0,1,1,13.94
23,20,1,75.0,-0.05402742194403199,0.75,0.875,1,0.75,1,0.8333333333333334,1,1,1,1,2,0.75,0.45,1.0130657405882597,0.8488194540366414,2,1,1,1,1,1.0041899698275705,0.7,0.5,1,0.7,0.5,0.9,0.6428571428571429,-0.9685385992866848,0.21428571428571427,2.767163826635777,1.6448628815151742,1,0.9,1,1,1.6194691803440748,-0.7848905642207468,0.5814436183364577,-0.8187888067594956,0.7812319615337806,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.7,0.34948565968361267,1,0.6235248286698352,0.7,1,0.29272812620559907,0.625,0.30698716627569994,0.2843493268915017,0.0,0.5,0.8333333333333334,0.6108610710753415,1.6502016315600323,-0.35953914829025974,0,1,1,23.0
24,120,2,44.0,-0.7536600512439631,0.75,0.875,1,0.75,1,0.8333333333333334,15,1,1,4,2,0.45,0.65,0.15473749065294862,-0.3955364208842937,1,1,7,7,2,-0.5669188163210045,0.5,0.5,1,0.7,0.5,0.9,0.9285714285714286,0.8751596258193299,0.21428571428571427,-0.8202626625906317,-0.025882420410928527,1,0.5,1,1,-0.2538005364895118,-0.7848905642207468,-0.8709790316911105,1.0871478175873686,-1.0271868296772464,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.5,-0.2877089940430985,1,0.6235248286698352,0.5,1,0.23491004552726172,0.375,0.30698716627569994,0.46065423827932694,0.0,0.5,0.8333333333333334,0.04971419762428235,0.9250866891358664,-0.35953914829025974,0,1,1,12.99
25,20,1,0.0,-0.2437067284740604,0.75,0.625,1,0.75,1,0.8333333333333334,10,1,1,1,2,0.45,0.75,-0.10936350932714708,0.8009596126935284,1,1,8,5,2,-0.5669188163210045,0.5,0.7,2,0.5,0.5,0.5,0.5,-0.5559013774772434,0.7857142857142857,-0.8111632929286752,0.019456665123022698,1,0.9,1,1,-0.2538005364895118,-0.7848905642207468,-0.8709790316911105,1.0871478175873686,-1.0271868296772464,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.7,-0.2877089940430985,1,0.6235248286698352,0.5,1,0.21711986685700407,0.375,-1.005012157822057,-0.9405058469607579,0.0,0.5,0.8333333333333334,2.4681781874274384,0.6291214065137579,-0.35953914829025974,0,1,1,15.4
26,20,1,110.0,0.5150104976460533,0.75,0.875,1,0.75,3,0.8333333333333334,11,1,1,1,2,0.75,0.45,1.1781288655758193,1.0881186607522058,1,1,1,1,3,3.0114072446579567,0.7,0.5,1,0.7,0.5,0.9,0.6428571428571429,-0.9685385992866848,0.21428571428571427,2.287172076967564,1.1665355291319888,1,0.9,1,1,1.122479255469858,-0.7848905642207468,0.1961069969005723,-0.8187888067594956,0.7812319615337806,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.7,0.34948565968361267,1,0.6235248286698352,0.7,1,0.3038469878745101,0.625,1.618986490373457,1.9360479704195486,0.0,0.5,0.8333333333333334,-0.7406335114617164,0.1259804260561733,-0.35953914829025974,0,1,1,25.63
27,20,1,60.0,-0.37633009386871935,0.75,0.875,1,0.75,3,0.8333333333333334,12,1,1,1,2,0.45,0.65,-0.6705781342848505,0.7530997713504156,1,1,3,6,2,-0.5669188163210045,0.5,0.5,2,0.5,0.5,0.5,0.35714285714285715,-0.454936950864295,0.5,-0.865759510900415,-0.3432560191485871,1,0.5,1,1,-0.6615871415145103,-0.7848905642207468,-1.1871526697923498,-0.8187888067594956,-1.0271868296772464,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.7,-0.9249036477698097,1,-0.9241528710642197,0.0,2,0.2993994432069457,0.375,0.30698716627569994,0.47921265000436114,0.0,0.5,0.8333333333333334,1.0139384027092009,-0.229177913090357,-0.35953914829025974,0,1,1,13.48
28,20,1,98.0,0.1660817198581935,0.75,0.875,1,0.75,1,0.8333333333333334,11,1,1,1,2,0.75,0.45,1.1781288655758193,1.1359785020953186,1,1,1,1,3,0.5513080777349207,0.7,0.5,1,0.9,0.5,0.9,0.9285714285714286,1.7048238271170366,0.21428571428571427,-0.16965773176073135,1.4793752193162522,1,0.9,1,1,1.387540548736107,-0.7848905642207468,0.40161986166637786,1.0871478175873686,0.7812319615337806,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.7,0.34948565968361267,1,0.6235248286698352,0.7,1,0.3060707602082923,0.625,1.618986490373457,1.3885748245310388,0.0,0.5,0.8333333333333334,-0.7406335114617164,0.03719084126954072,-0.35953914829025974,0,1,1,30.6
29,20,1,47.0,0.7801304374550703,0.75,0.625,1,0.75,4,0.8333333333333334,12,1,1,1,2,0.45,0.55,-0.47250238429977864,0.6095202473210769,1,1,2,2,2,-0.5669188163210045,0.5,0.5,2,0.5,0.5,0.7,0.35714285714285715,1.83432167864234,0.21428571428571427,-0.8043387656822076,0.9806452784427887,1,0.5,1,1,1.122479255469858,-0.7848905642207468,0.1961069969005723,1.0871478175873686,-1.0271868296772464,-0.7561914703898819,-1.0456221209685077,-0.20766289448672728,0.5,-0.2877089940430985,1,2.17120252840389,0.7,1,0.1926583711853998,0.625,-1.005012157822057,-0.7131653033290885,0.0,0.5,0.8333333333333334,1.53556789070596,3.1152297805394698,-0.35953914829025974,0,1,1,20.75
30,30,2,60.0,-0.4873989926122386,0.75,0.625,1,0.75,1,0.8333333333333334,9,2,3,1,2,0.35,0.55,-1.4628811342251375,-1.6398922958052287,1,1,2,2,2,-0.5669188163210045,0.5,0.5,3,0.5,0.5,0.9,0.6428571428571429,-0.9685385992866848,0.21428571428571427,-0.09231308963409983,-1.2046986442936605,1,0.3,2,1,-1.6300803284488814,-0.7848905642207468,-1.9380650602827934,-0.8187888067594956,-1.0271868296772464,-0.7561914703898819,-2.2611422209713252,-0.20766289448672728,0.3,-1.5620983014965208,1,-0.9241528710642197,0.0,2,0.11037879483545818,0.375,-1.005012157822057,-1.0796939348985146,-0.04,0.5,0.8333333333333334,-0.35336313400957703,-0.7027223652857307,0.9946677413299992,0,1,1,6.85
31,70,3,50.0,-0.21150181947765184,0.75,0.875,1,0.75,1,0.8333333333333334,14,2,1,1,1,0.35,0.35,-1.6939695092077212,-1.6398922958052287,3,1,5,8,2,-0.5669188163210045,0.5,0.3,3,0.5,0.5,0.9,0.6428571428571429,-0.9685385992866848,0.21428571428571427,0.20114158196400211,-0.912261542599675,1,0.5,2,1,-1.3013023781474764,0.7733033523188444,-0.3631251254909948,-0.8187888067594956,-1.0271868296772464,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.5,-0.2877089940430985,1,-0.9241528710642197,0.0,2,0.11037879483545818,0.375,-1.005012157822057,-1.033297905585929,0.0,0.3,0.16666666666666666,-0.7406335114617164,0.09638389779396243,2.3177434380854245,0,1,1,4.0
32,20,1,0.0,-0.2059230163444157,0.75,0.625,1,0.75,4,0.8333333333333334,10,1,1,1,2,0.45,0.55,-0.175388759322171,1.040258819409093,1,1,4,4,2,-0.5669188163210045,0.5,0.5,2,0.5,0.5,0.9,0.6428571428571429,-0.9685385992866848,0.21428571428571427,1.5182753405322271,0.400304983608213,1,0.7,1,1,0.17437539878673658,-0.7848905642207468,-0.5389967116848092,-0.8187888067594956,-1.0271868296772464,1.232387720662429,0.16989797903430978,-0.20766289448672728,0.7,-0.2877089940430985,1,-0.9241528710642197,0.0,1,0.21267232218943966,0.375,-1.005012157822057,-0.9358662440294993,0.0,0.5,0.8333333333333334,-0.7406335114617164,0.2591648032361222,-0.35953914829025974,0,1,1,14.935
33,20,1,85.0,0.11168838930914124,0.75,0.875,1,0.75,3,0.8333333333333334,1,1,1,1,2,0.75,0.45,1.1781288655758193,1.0881186607522058,1,1,1,1,2,-0.5669188163210045,0.7,0.5,1,0.9,0.5,0.3,0.6428571428571429,-0.9685385992866848,0.21428571428571427,1.5319243950251622,0.41390670926839834,1,0.9,1,1,0.18966739647517403,-0.7848905642207468,-0.5271402002560127,-0.8187888067594956,0.7812319615337806,-0.7561914703898819,0.16989797903430978,-0.20766289448672728,0.7,0.34948565968361267,1,-0.9241528710642197,0.0,1,0.3038469878745101,0.625,0.30698716627569994,0.05236918032857375,0.0,0.5,0.8333333333333334,-0.7406335114617164,-0.25877444135256783,-0.35953914829025974,0,1,1,17.99
34,20,1,70.0,0.04867327209963314,0.75,0.625,1,0.75,1,0.8333333333333334,12,1,1,1,2,0.45,0.45,-0.40647713430475474,-1.2091537237172127,2,1,5,8,2,-0.5669188163210045,0.5,0.5,2,0.5,0.5,0.9,0.5,1.2658480592346522,0.21428571428571427,-0.41079102780258253,0.7856872106467985,1,0.7,1,1,1.377345883610482,-0.7848905642207468,0.39371552071384686,-0.8187888067594956,-1.0271868296772464,1.232387720662429,1.385418079037127,-0.20766289448672728,0.7,-0.2877089940430985,1,0.6235248286698352,0.7,1,0.19710591585296422,0.625,0.30698716627569994,-0.11929612812799292,0.0,0.5,0.8333333333333334,-0.7406335114617164,-0.1403883283037244,-0.35953914829025974,0,1,1,16.55
35,120,1,60.0,-0.36200271309472654,0.75,0.875,1,0.75,1,0.8333333333333334,11,1,1,4,2,0.85,0.45,1.1121036155807955,0.99239897806598,2,1,2,2,1,0.8085002633677835,0.9,0.5,1,0.9,0.5,0.9,0.9285714285714286,1.5621567025552616,0.21428571428571427,-0.347095440168886,1.1552007577485008,1,0.9,1,1,1.0230812704950145,-0.7848905642207468,0.1190396726133952,1.0871478175873686,0.7812319615337806,-0.7561914703898819,-1.0456221209685077,-0.20766289448672728,0.9,-0.2877089940430985,1,0.6235248286698352,0.7,1,0.2993994432069457,0.875,0.30698716627569994,0.38642059137919,0.0,0.5,0.8333333333333334,0.8637723379828611,-0.007203951123775565,-0.35953914829025974,0,1,1,27.75
